Location group,# Exams,av wRVU,40th,50th,60th,70th,Exam Description,Comments
MAM2870,,,600,600,600,600,MAM BREAST NEEDLE LOCAL LEFT,
MAM2871,,,600,600,600,600,MAM STEREO BREAST BIOPSY RIGHT,
MAM2872,,,120,120,120,120,MAM RADIOGRAPH BIOPSY SPECIMEN LEFT,
MAM2873,,,120,120,120,120,MAM RADIOGRAPH BIOPSY SPECIMEN RIGHT,
MAM2874,,,120,120,120,120,MAM RADIOGRAPH SURG SPECIMEN LEFT,
MAM2875,,,120,120,120,120,MAM RADIOGRAPH SURG SPECIMEN RIGHT,
MAM2892,191,0.76,123,164,223,293,,
MAM2893,1,1,151,151,151,151,,
MAM3891,1268,0,252,252,252,252,MAM DIAGNOSTIC LEFT 3D TOMO,
MAM3892,1268,0.81,252,252,252,252,MAM DIAGNOSTIC RIGHT 3D TOMO,
MAM3893,2465,1,252,252,252,252,MAM DIAGNOSTIC BILAT 3D TOMO,
MAM3894,24613,1.36,112,137,172,227,MAM SCREEN BILAT 3D TOMO,
MAM3895,212,1.36,120,143,179,274,MAM SCREEN LEFT 3D TOMO - HX BREAST CA RIGHT,
MAM3896,271,1.36,126,151,193,247,MAM SCREEN RIGHT 3D TOMO - HX BREAST CA LEFT,
MAM3897,804,1.36,156,193,235,307,MAM SCREEN BILAT 3D TOMO - HX BREAST CA,
MAM3899,,,20,20,20,20,MAM POST PROCEDURE LEFT 2D,
MAM3900,,,10,10,10,10,MAM POST PROCEDURE RIGHT 2D,
MAM3901,,,20,20,20,20,MAM POST PROCEDURE BILAT 2D,
MAM3905,,,600,600,600,600,MAM MAGSEED PLACEMENT,
MAM3911,1268,0.81,252,252,252,252,MAM DIAGNOSTIC RIGHT IMPLANT 3D TOMO,
MRI2516,10,1.45,764,904,6787,18157,MRI BREAST BILAT WO CONTRAST,
MRI3801,22,1.35,458,664,794,1035,MRI ORBIT/ FACE/ NECK WO CONTRAST,
MRI3802,204,2.15,529,697,854,1238,MRI ORBIT/ FACE/ NECK W/WO CONTRAST,
MRI3805,30,1.2,242,321,522,1275,MRA NECK WO CONTRAST,
MRI3807,94,1.8,196,227,307,444,MRA NECK W/WO CONTRAST,
MRI3810,5696,1.48,183,228,291,403,MRI BRAIN WO CONTRAST,
MRI3811,11,1.2,259,406,851,1084,MRA BRAIN W CONTRAST,
MRI3812,84,1.2,182,251,304,376,MRA BRAIN WO CONTRAST,
MRI3813,107,1.8,194,282,347,569,MRA BRAIN W/WO CONTRAST,
MRI3814,47,1.78,225,271,329,411,MRI BRAIN W CONTRAST,
MRI3816,4004,2.29,316,405,521,716,MRI BRAIN W/WO CONTRAST,
MRI3817,35,2.26,640,717,887,1047,MRI CHEST/ HILUM W/WO CONTRAST,
MRI3818,11,1.46,488,559,720,1562,MRI CHEST/ HILUM WO CONTRAST,
MRI3820,624,2.29,366,461,597,785,MRI CERVICAL SPINE W/WO CONTRAST,
MRI3821,2256,1.48,340,417,513,679,MRI CERVICAL SPINE WO CONTRAST,
MRI3822,,,980,980,4010,4010,MRI WHOLE BODY WITH AND WITHOUT CONTRAST,
MRI3823,8,1.78,1200,1200,1200,1200,MRI CERVICAL SPINE W CONTRAST,
MRI3825,1035,1.35,427,630,1289,3831,MRI SHOULDER JOINT,
MRI3831,670,1.48,328,394,502,679,MRI THORACIC SPINE WO CONTRAST,
MRI3832,5,8.81,980,980,4010,4010,MRI WHOLE BODY SCREENING,
MRI3833,8,1.78,479,518,518,533,MRI THORACIC SPINE W CONTRAST,
MRI3835,421,2.29,374,493,630,851,MRI THORACIC SPINE W/WO CONTRAST,
MRI3838,69,2.15,1200,1200,1200,1200,MRI JOINT UPPER EXT W/WO CONTRAST,
MRI3840,933,2.29,472,576,753,1064,MRI LUMBAR SPINE W/WO CONTRAST,
MRI3841,4445,1.48,306,369,452,580,MRI LUMBAR SPINE WO CONTRAST,
MRI3842,11,1.78,426,539,618,875,MRI LUMBAR SPINE W CONTRAST,
MRI3843,152,2.15,681,924,1391,2769,MRI UPPER EXT W/WO CONTRAST,
MRI3844,172,1.35,649,908,1456,3195,MRI UPPER EXT WO CONTRAST,
MRI3846,304,1.35,662,1060,2417,5268,MRI JOINT UPPER EXT WO CONTRAST,
MRI3847,212,1.62,606,852,1539,3968,MRI JOINT UPPER EXT W CONTRAST,
MRI3848,671,1.35,511,730,1160,3208,MRI LOWER EXT WO CONTRAST,
MRI3849,3,1.62,1200,1200,1200,1200,,
MRI3850,1892,1.35,419,622,1128,3385,MRI KNEE JOINT,
MRI3851,372,2.15,650,913,1548,3249,MRI LOWER EXT W/WO CONTRAST,
MRI3852,773,1.35,607,873,1774,4691,MRI JOINT LOWER EXT WO CONTRAST,
MRI3853,125,1.62,590,693,2540,6480,MRI JOINT LOWER EXT W CONTRAST,
MRI3854,441,1.46,423,510,673,878,MRI ABDOMEN WO CONTRAST,
MRI3855,113,2.15,642,871,1359,2432,MRI JOINT LOWER EXT W/WO CONTRAST,
MRI3856,3,1.8,459,459,459,733,MRA ABDOMEN W CONTRAST,
MRI3857,1,1.73,682,898,1202,10919,MRI ABDOMEN W CONTRAST,
MRI3859,1222,2.26,682,898,1202,1976,MRI ABDOMEN W/WO CONTRAST,
MRI3862,2,1.81,682,898,1202,12593,MRA CHEST W CONTRAST,
MRI3867,3,6.19,1200,1200,1200,1200,MRI BREAST BIOPSY LEFT,
MRI3868,1,1.73,1200,1200,1200,1200,,
MRI3869,1,1.82,1200,1200,1200,1200,,
MRI3870,4,1.82,1200,1200,1200,1200,MRA LOWER EXT W/WO CONTRAST,
MRI3873,2,1.45,19,25,25,25,MRI BREAST UNILAT W/WO CONTRAST,
MRI3875,467,2.3,835,1232,1728,2950,MRI BREAST BILAT W/WO CONTRAST,
MRI3876,14,1.48,399,541,1620,4239,MRI TMJ BILATERAL,
MRI3877,599,2.26,887,1234,1635,2765,MRI PELVIS W/WO CONTRAST,
MRI3878,447,1.46,393,510,712,1097,MRI PELVIS WO CONTRAST,
MRI3879,1,1.73,571,571,571,571,MRI PELVIS W CONTRAST,
MRI3888,30,0,88,102,114,176,MRI RESCHED XLD DEFERRED EXAM,
MRI3900,14,4.6,845,1611,1696,4868,MRI ABD/PEL ENTEROGRAPHY,
MRI3926,214,1.2,193,250,328,413,MRA BRAIN W/O CONTRAST W 3D RECON,
MRI3927,10,1.82,579,726,734,8131,MRA ABDOMEN W CONTRAST W 3D RECON,
MRI3991,,,459,459,459,733,MRA ABDOMEN W/WO CONTRAST,
MRIWBS4,1,5.73,1200,1200,1200,1200,,
NMD5002,2,1.38,1200,1200,1200,1200,,
NMD5003,79,1.6,265,371,626,1230,NM PARATHYROID (PLANAR \T\ SPECT/CT),
NMD5004,6,1.2,325,350,350,372,NM PARATHYROID (PLANAR \T\ SPECT),
NMD5007,47,0.5,344,464,785,1386,NM THYROID UPTAKE AND SCAN,
NMD5016,18,1.46,889,1162,1454,3781,NM THYROID CA SCAN WHOLE BODY,
NMD5185,1,0.96,175,175,175,175,,
NMD5220,137,0.74,150,178,233,405,NM LIVER/ GB SCAN,
NMD5221,463,0.9,117,169,255,479,NM LIVER/GB WITH PHARMACOLOGIC INTERVENTION,
NMD5260,5,0.68,541,541,581,581,,
NMD5300,5,0.83,328,328,945,945,,
NMD5301,110,1.02,425,589,794,1867,NM BONE SCAN MULTI VIEW W FLOW,
NMD5307,829,0.86,283,388,511,852,NM BONE SCAN WHOLE BODY,
NMD5500,28,0.86,356,377,482,765,NM GALLIUM WHOLE BODY,
NMD5502,7,0.64,398,470,558,558,NM BRAIN SCAN >/= 4 IMAGES WITH FLOW,
NMD5506,1,2.22,251,251,251,251,NM WBC SPECT,
NMD5508,1,0.86,727,727,727,727,,
NMD5510,1,0.98,1040,1040,1040,1040,NM GATED CARDIAC SCAN,
NMD5520,25,0.99,157,188,324,669,NM GI BLOOD LOSS SCAN,
NMD5570,28,1.07,191,232,326,381,,
NMD5580,219,0.74,134,177,253,399,NM LUNG SCAN (PERFUSION),
NMD5591,2,0.85,342,5198,5198,5198,NM LUNG QUANT SCAN (VENT \T\ PERF),
NMD5600,150,1.23,157,199,362,651,NM BRAIN SCAN SPECT,
NMD5630,4,0.68,1049,1402,1402,1402,NM CISTERNOGRAPHY,
NMD5645,6,0.57,76,198,198,278,NM CSF SHUNT PATENCY,
NMD5700,2,0.45,618,2008,2008,2008,NM RENAL SCAN (DMSA) FUNCTION,
NMD5701,1,0.96,4667,4667,4667,4667,NM RENAL FLOW FUNCTION,
NMD5707,98,1.21,479,688,944,2856,NM RENAL PRE/ POST LASIX,
NMD5750,10,1.75,1800,1800,1800,1800,NM Y90 PLANNING,
NMD5751,2,0,1800,1800,1800,1800,NM Y90 TREATMENT,
NMD5806,1,0.86,1153,1153,1153,1153,NM MIBG TUMOR LOC,
NMD5809,1,1.07,295,295,295,295,,
NMD5813,3,0.8,350,350,350,366,,
NMD5844,1197,2.44,1266,1640,2252,4150,NM PET TUMOR SKULL / THIGH W/CT AC,
NMD5845,282,2.5,1569,1918,2584,3990,NM PET TUMOR W/B W/CT AC,
NMD5850,14,1.2,179,235,274,278,NM LYMPHOSCINTIGRAPHY,
NMD5851,2,1.2,2507,14151,14151,14151,NM LYMPHOSCINTIGRAPHY FOR LYMPHEDEMA,
NMD5861,4,1.5,821,5681,5681,5681,,
NMD5863,,,1266,1640,2252,4150,NM PET MYOCARDIAL METABOLIC,
NMD5900,5,1.8,652,652,1325,1325,NM ORAL TREATMENT NON CANCER,
NMD5901,2,1.8,1200,1200,1200,1200,NM ORAL TREATMENT OP CANCER,
NMD5902,9,1.8,1200,1200,1200,1200,NM ORAL TREATMENT IP CANCER,
NMD5903,3,1.61,4016,4016,4016,69377,NM CARDIAC AMYLOIDOSIS,
NMD5955,227,1.62,300,388,600,1065,NM MYOCARDIAL PERFUSION STUDY (S/R),
NMD5956,4,1.38,146,164,164,164,NM MYOCARDIAL PERFUSION IMAGING (S OR R ONLY),
NMD5964,173,1.04,431,549,802,1474,NM BONE SCAN SPECT SINGLE AREA,
NMD5968,51,2.12,450,535,748,1846,NM BONE SCAN SPECT MULT AREAS,
NMD5969,346,0.79,52,61,75,104,NM GASTRIC EMPTYING,
NMD5995,36,0.52,65,87,105,168,NM SENTNODE INJ ONLY BREAST UNILAT,
NMD5996,1,0,1200,1200,1200,1200,NM SENTNODE INJECTION ONLY MELANOMA,
NMD5998,2,0,145,1568,1568,1568,NM RESCHD XLD DEFERRED EXAM,
NMD6001,33,2.44,2091,4055,6658,18855,NM PET AXUMIN,
NMD6003,,,1266,1640,2252,4150,NM PET BONE WHOLE BODY,
NMD6006,19,2.44,1775,2144,5340,7132,NM PET DOTATATE,
NMD6009,,,1266,1640,2252,4150,NM PET PSMA,
USD1003,72,1.19,600,600,600,600,US GUIDANCE-DRAIN PLACEMENT,
USD1004,50,1,600,600,600,1200,"US ARTHRO ASP/INJ INTERMED JOINT (WRIST, ELBOW, ANKLE)",
USD1005,290,1.1,600,600,600,600,"US ARTHRO ASP/INJ MAJOR JOINT (SHOULDER, HIP, KNEE)",
USD1006,6,0.66,600,600,600,600,"US ARTHRO ASP/INJ SMALL JOINT (FINGERS, TOES)",
USD1011,11,0.73,240,240,240,240,"US BREAST, UNI TO INCLUDE AXILLA",
USD1013,2,1.97,323,488,488,488,US ABDOMEN W DOPPLER COMPLETE,
USD1015,1,5.3,177,177,177,177,"US RF VENOUS ABLATION, 1ST VEIN",
USD2800,252,3.1,600,600,600,600,US BREAST CORE NEEDLE BIOPSY LEFT,
USD2801,257,3.1,600,600,600,600,US BREAST CORE NEEDLE BIOPSY RIGHT,
USD2802,77,1.7,600,600,600,600,US BREAST NEEDLE LOC LEFT,
USD2803,67,1.7,600,600,600,600,US BREAST NEEDLE LOC RIGHT,
USD2804,12,1.51,600,600,600,600,US BREAST CYST ASPIRATION LEFT,
USD2805,11,1.51,600,600,600,600,US BREAST CYST ASPIRATION RIGHT,
USD2806,1171,0.68,240,240,240,240,US BREAST LEFT,
USD2807,1084,0.68,240,240,240,240,US BREAST RIGHT,
USD2808,1,0.16,600,600,600,600,,
USD6073,1973,0.63,135,190,271,507,US EXTREMITY COMPLETE,
USD7501,33,2.78,600,600,600,600,US CORE BIOPSY SOFT TISSUE NECK OR CHEST,
USD7800,7872,0.81,127,158,199,268,US ABDOMEN,
USD7803,1294,1.44,133,168,214,296,US TESTIS W DOPPLER,
USD7807,5497,0.59,98,122,155,212,US ABDOMEN LIMITED,
USD7808,48,0.59,81,121,160,200,US PYLORUS,
USD7809,88,1.13,137,167,197,266,US SPINAL CANAL,
USD7812,470,0.74,66,80,94,127,US AORTA,
USD7813,6485,0.74,108,135,175,232,US RENAL,
USD7814,152,0.74,87,107,152,242,US INFANT HIPS,
USD7815,622,0.69,117,142,181,248,US PELVIS (TRANSABD ONLY),
USD7818,1075,0.77,58,69,85,110,US BPP SINGLE,
USD7819,992,0.65,180,180,180,180,US OBSTETRIC LTD (SINGLE/MULTIGEST),
USD7821,2599,0.99,360,360,360,360,US OBSTETRIC (ANATOMY/ DATES SINGLE),
USD7824,68,0.69,248,296,359,525,US TRANSVAGINAL (NON-OB),
USD7827,100,0.63,105,135,181,271,US INFANT HEAD,
USD7828,11,0.63,84,84,129,541,US NEONATAL HEAD,
USD7829,5,0.67,600,600,600,600,US GUIDANCE-NEEDLE PLACEMENT,
USD7830,3302,0.56,181,231,296,393,US SOFT TISSUE NECK AND HEAD,
USD7831,1229,2.27,600,600,600,600,US THORACENTESIS UNILAT,
USD7833,223,0.68,240,240,240,240,US BREAST BILAT,
USD7848,4,2.63,600,600,600,600,US RENAL CYST ASPIRATION,
USD7855,127,0.8,152,175,210,248,US CAROTID DOPPLER BIL,
USD7857,1,0.72,332,332,332,332,,
USD7859,19,0.55,72,110,134,170,US CHEST BILAT,
USD7860,306,0.55,82,101,130,184,US CHEST UNILAT,
USD7867,94,2.27,95,113,152,272,US THORACENTESIS W/TUBE INSERT,
USD7869,31,5.11,600,600,600,600,US PLEURX CHEST,
USD7871,1409,0.49,112,138,171,244,US EXTREMITY LIMITED,
USD7872,4,1.2,1200,1200,1200,1200,US GUIDANCE-INTRAOPERATIVE,
USD7877,18,2.4,600,600,600,600,US ABDOMEN NEEDLE BIOPSY,
USD7878,7,2.27,600,600,600,600,,
USD7880,4,1.51,600,600,600,600,US BREAST CYST ASPIRATION,
USD7881,2469,2,600,600,600,600,US PARACENTESIS,
USD7883,10,0.8,109,113,272,948,US LIMITED DOPPLER LIVER/RENAL/SCROTAL/PELVIC,
USD7898,78,4,600,600,600,600,US ABDOMINAL DRAIN PLACEMENT,
USD7905,103,0.5,119,151,168,209,US LIMITED PELVIS,
USD7908,293,0.75,104,139,191,304,US TRANSVAGINAL (OB),
USD7910,5870,1.38,144,177,226,298,US PELVIC ULTRASOUND (ABD/TV),
USD7914,282,0.64,144,179,225,281,US TESTICULAR,
USD7916,9,0.58,125,134,191,365,US LIMITED RETROPERITONEAL,
USD7917,8,1.61,611,955,955,1360,US ABDOMEN W DOPPLER LIMITED,
USD7919,187,1.81,600,600,600,600,US LYMPH NODE CORE BIOPSY,
USD7921,2,1.03,600,600,600,600,US LYMPH NODE FNA BIOPSY,
USD7923,265,1.92,600,600,600,600,US GUIDANCE FLUID ASPIRATION,
USD7928,54,5.95,720,720,720,720,US GALLBLADDER TUBE PLACEMENT,
USD7930,313,1.46,1200,1200,1200,1200,US THYROID FNA,
USD7933,1,2.46,600,600,600,600,US THYROID FNA EACH ADDL LESION,
USD7934,271,2.32,600,600,600,600,US LIVER BIOPSY,
USD7935,21,1.38,236,251,285,322,US FOLLICULAR STUDY INITIAL (ABD/TV),
USD7936,9,0.69,252,280,315,316,US FOLLICULAR STUDY F/U (TV),
USD7941,9,2.17,600,600,600,600,US FNA NON-THYROID,
USD7942,81,3.05,600,600,600,600,US RENAL BIOPSY,
USD7945,583,0.59,108,127,157,207,US HERNIA,
USD7946,5,4,600,600,600,600,US LIVER/KIDNEY DRAIN PLACEMENT,
USD7953,759,2.18,129,158,204,277,US PELVIC (ABD/TV) WITH DOPPLER,
USD7955,3,4,600,600,600,600,,
USD7968,2,2.57,129,158,204,277,US FIRST TRIMESTER (TRIPLET/ ABD/ TV),
USD7969,1,1.82,1800,1800,1800,1800,US FIRST TRIMESTER (TRIPLET/ ABD),
USD7970,1553,0.99,180,180,180,180,US FIRST TRIMESTER (SINGLE/ABD),
USD7971,3,0.83,252,280,315,316,US FIRST TRIMESTER (EACH ADD),
USD7972,13,1.97,216,254,314,414,US OBSTETRIC (ANATOMY/ DATES TWINS),
USD7973,2298,0.85,240,240,240,240,US F/U GROWTH/ EFW SINGLE,
USD7974,1,1.6,108,127,157,207,US F/U GROWTH/ EFW EA ADDL,
USD7975,22,1.82,216,254,314,414,US FIRST TRIMESTER (TWINS/ ABD),
USD7976,27,2.57,480,480,480,480,US FIRST TRIMESTER (TWINS/ ABD TV),
USD7977,1926,1.74,180,180,180,180,US FIRST TRIMESTER (SINGLE/ ABD/ TV),
USD7978,31,0.85,432,508,628,828,US F/U GROWTH/ EFW TWINS,
USD7979,44,0.77,168,187,224,268,US BPP TWINS,
USD7980,13,0.5,360,360,360,360,US FETAL UMBILICAL ART DOPPLER,
USD7982,51,0.76,251,278,345,394,US TRANSPLANTED KIDNEY,
USD7988,34,3.96,600,600,600,600,US PLEURX ABDOMEN,
USD7992,26,1.66,600,600,600,600,US MUSCLE CORE BIOPSY,
USD7998,6,0,210,210,210,210,,
USD8001,5,2.53,300,300,300,300,US PLEURX REMOVAL,
USD8002,1228,0.63,121,170,248,463,US MSK EXTREMITY COMPLETE (SHOULDER),
USD8003,55,3.4,600,600,600,600,US MAGSEED PLACEMENT,
USD8004,,,600,600,600,600,US GUIDED PROCEDURE,
USD8006,321,0.59,117,151,188,251,US SUPERFICIAL MASS OR SOFT TISSUE,
USD8008,9,2.01,600,600,600,600,US GUIDANCE NEXPLANON REMOVAL,
USD8009,14,1.49,135,181,307,310,US TRANSVAGINAL (NON-OB) WITH DOPPLER,
USD8010,4,1.37,600,600,600,600,,
USD8011,11,0.69,103,170,269,3433,US EXTREMITY LIMITED - ACHILLES,
USD8012,23,0,79,105,110,228,US POST VOID RESIDUAL,
USD8013,3,1.13,78,78,78,127,US INFANT SPINE,
USD8014,42,1.49,155,179,246,306,US PELVIS (TRANSABD ONLY) WITH DOPPLER,
USD8040,2,1.94,600,600,600,600,,
VAS0008,13,0.7,360,360,360,360,LOWER EXTREMITY VENOUS INSUFFICIENCY DUPLEX BILATERAL,
VAS0015,2,0.5,143,313,313,313,US CAROTID DOPPLER UNI,
VAS0016,113,0.8,148,184,207,292,US CAROTID DOPPLER BIL,
VAS0018,10,0.45,207,269,310,322,LOWER EXTREMITY VENOUS INSUFFICIENCY DUPLEX UNILATERAL,
VAS7506,6,0.8,300,300,300,300,ARTERIAL DUPLEX BILATERAL LOWER EXTREMITY,
VAS7508,,,120,120,120,120,ARTERIAL DUPLEX BILATERAL UPPER EXTREMITY,
VAS7509,2,0.5,240,240,240,240,ARTERIAL DUPLEX UNILATERAL LOWER EXTREMITY,
VAS7514,12,0,300,300,300,300,RENAL DUPLEX COMPLETE,
VAS7515,4,0.8,431,434,434,434,MESENTERIC DUPLEX COMPLETE,
VAS7516,17,1.75,346,369,468,468,PORTAL DUPLEX COMPLETE (TIPS),
VAS7520,24,0.8,180,180,180,180,AORTO-ILIAC DUPLEX COMPLETE,
VAS7525,1,0,844,844,844,844,LOWER EXTREMITY ARTERIAL PHYSIOLOGIC MULTILEVEL,
VAS7526,2,0.45,300,300,300,300,UPPER EXTREMITY ARTERIAL PHYSIOLOGIC SINGLE LEVEL,
VAS7527,6,0.25,554,817,817,1404,LOWER EXTREMITY ARTERIAL PHYSIOLOGIC SINGLE LEVEL,
VAS7532,2,0.7,300,300,300,300,UPPER EXTREMITY VENOUS DUPLEX BILATERAL,
VAS7533,121,0.7,93,129,156,227,LOWER EXTREMITY VENOUS DUPLEX BILATERAL,
VAS7534,4,0.45,180,180,180,180,UPPER EXTREMITY VENOUS DUPLEX UNILATERAL,
VAS7535,283,0.45,74,91,123,192,LOWER EXTREMITY VENOUS DUPLEX UNILATERAL,
VAS7558,122,0.45,82,107,136,187,LOWER EXTREMITY VENOUS DUPLEX LIMITED UNILATERAL,
VAS7559,15,0.7,90,119,235,567,LOWER EXTREMITY VENOUS DUPLEX LIMITED BILATERAL,
VAS7600,2,0.25,128,226,226,226,UNNA BOOT ABI 30MIN,
VAS7900,8,0.75,240,240,240,240,ARTERIAL DUPLEX UNILATERAL LOWER EXT WITH PHYSIOLOGY,
VAS7901,1,1.05,300,300,300,300,ARTERIAL DUPLEX BILATERAL UPPER EXT WITH PHYSIOLOGY,
VAS7902,2,1.05,240,240,240,240,ARTERIAL DUPLEX UNILATERAL UPPER EXT WITH PHYSIOLOGY,
VAS7903,35,1.05,210,210,210,210,ARTERIAL DUPLEX BILATERAL LOWER EXT WITH PHYSIOLOGY,
ANG8003,,,,0,,,ANG CORONARY,Non-radiology
ANG8004,,,,0,,,ANG CRANIAL,Non-radiology
ANG8011,,,,0,,,ANG PTCA,Non-radiology
ANG8020,,,,0,,,ANG PFO CLOSURE,Non-radiology
ANG8021,,,,0,,,ANG TAVR,Non-radiology
ANG8022,,,,0,,,ANG EP VTACH,Non-radiology
ANG8023,,,,0,,,ANG EP STUDY,Non-radiology
ANG8024,,,,0,,,ANG PACEMAKER INTERVENTION,Non-radiology
ANG8025,,,,0,,,ANG ICD INTERVENTION,Non-radiology
ANG8028,,,,0,,,ANG CAROTID STENT,Non-radiology
ANG8029,,,,0,,,ANG PERIPHERAL INTERVENTION,Non-radiology
ANG8035,,,,0,,,ANG EVAR,Non-radiology
ANG8048,,,,0,,,ANG IV ABLATION,Non-radiology
ANG8060,,,,0,,,ANG BI-V PPM/ICD INSERT/UPGRADE,Non-radiology
ANG8064,,,,0,,,ANG LEFT ATRIAL APPENDAGE OCCLUSION - LAAO,Non-radiology
ANG8070,,,,0,,,ANG EP SUPRAVENTRICULAR TACHYCARDIA ABLATION,Non-radiology
ANG8071,,,,0,,,ANG EP ATRIAL FIBRILLATION ABLATION,Non-radiology
ANG8072,,,,0,,,ANG EP ATRIAL FLUTTER ABLATION,Non-radiology
ANG8074,,,,0,,,ANG EP PVC ABLATION,Non-radiology
ANG8075,,,,0,,,ANG EP AV NODAL ABLATION,Non-radiology
ANG8076,,,,0,,,ANG EP AV NODE WITH IMPLANT,Non-radiology
ANG8099,,,,0,,,ANG LEAD EXTRACTION,Non-radiology
CAT6796,,,,1200,,,CT INJ/ ASPIRATION INTERMEDIATE  JOINT,
CAT6840,,,,1200,,,CT STEREOTACTIC LOCALIZATION,
ECH7524,,,,0,,,TRANSESOPHAGEAL ECHO (TEE) WITH DOPPLER AND COLOR FLOW,Non-radiology
ECH7539,,,,0,,,TRANSTHORACIC ECHO WITH DOPPLER AND COLOR FLOW COMPLETE - USE CONTRAST IF INDICATED,Non-radiology
EKG0002,,,,0,,,PHARMACOLOGICAL STRESS TEST,Non-radiology
EKG0017,,,,0,,,EXERCISE STRESS TEST,Non-radiology
DXR7117,58,0.24,144,245,316,479,XR EYE FOR FOREIGN BODY,
DXR7357,9,0.62,600,600,600,600,XR G / J TUBE CHANGE W/ FLUORO,
DXR7555,221,0.31,356,408,480,591,XR BONE LENGTH STUDY,
DXR7622,1,1.54,600,600,600,600,XR FLUORO NEEDLE GUIDE,
MAM2860,,,120,120,120,120,MAM RADIOGRAPH SURG SPECIMEN,
MAM3907,,,252,252,252,252,MAM DIAGNOSTIC BILAT IMPLANT 3D TOMO,
MAM3909,,,252,252,252,252,MAM DIAGNOSTIC LEFT IMPLANT 3D TOMO,
MAM3912,,,112,137,172,227,MAM SCREEN BILAT IMPLANT 2D,
MAM3914,,,112,137,172,227,MAM SCREEN BILAT IMPLANT 3D TOMO,
MAM3915,,,112,137,172,227,MAM SCREEN BILAT IMPLANT 3D TOMO - HX BREAST CA,
MAM3919,,,120,143,179,274,MAM SCREEN RIGHT IMPLANT 3D TOMO - HX BREAST CA LEFT,
MRI3800,,,458,664,794,1035,MRI ORBIT/ FACE/ NECK W CONTRAST,
MRI3874,,,399,541,1620,4239,MRI TMJ UNILATERAL,
MRI3890,,,600,600,600,600,MRI CARDIAC FOR MORPH,
MRI3901,,,600,600,600,600,MRI CARDIAC FOR MORPH W/W/O CONTRAST,
MRI3906,,,488,559,720,1562,MRA CHEST W/WO CONTRAST,
MRI3907,,,606,852,1539,3968,MRI JOINT UPPER EXT W SALINE,
MRI3908,,,590,693,2540,6480,MRI JOINT LOWER EXT W SALINE,
NMD5496,,,134,177,253,399,NM CARDIAC SHUNT QUANT (R-L),
NMD6010,,,179,235,274,278,NM SPECT LYMPHO MELANOMA,
PRO80,1,1.54,600,600,600,600,"DRAIN, INJECT LARGE JOINT OR BURSA WITH US",
TEMPORARY,0,0,0,0,0,0,TEMPORARY,Non-radiology
USD1001,,,180,180,180,180,US VENOUS DOPPLER - UNILATERAL,
USD1002,,,93,129,156,227,US VENOUS DOPPLER - BILATERAL,
USD7874,,,0,0,0,0,US NUCHAL TRANSLUCENCY (SINGLE),Non-radiology
USD7875,,,0,0,0,0,US NUCHAL TRANSLUCENCY (EA ADDL),Non-radiology
USD7876,0,0,0,0,0,0,US AMNIOCENTESIS,Non-radiology
USD7911,,,216,254,314,414,US OB DETAILED EXAM SINGLE,
USD7964,,,216,254,314,414,US OB DETAILED EXAM TWINS,
USD7981,,0.63,84,84,129,541,US MIDDLE CEREBRAL ART DOPPLER,
USD8015,0,0,0,0,0,0,US FAST SCAN,Non-radiology
USD8018,,0.49,112,138,171,244,US EXTREMITY LIMITED BILATERAL,
VAS7904,,0.74,66,80,94,127,AAA SCREENING,
,,0,0,0,0,0,Null Field,Non-radiology
ANG8061,,0,0,0,0,0,ANG BI-V PPM/ICD GENERATOR CHANGE,Non-radiology
DXR7120,,0,0,0,0,0,ES ENDOSCOPY IMAGES,Non-radiology
NMD5605,,0,0,0,0,0,NM SENTNODE INJ ONLY BREAST BILAT,Non-radiology
